,raw,filled,clean
2025-04-21,192.68833923339844,192.68833923339844,192.68833923339844
2025-04-22,199.25228881835938,199.25228881835938,199.25228881835938
2025-04-23,204.10043334960938,204.10043334960938,204.10043334960938
2025-04-24,207.8612060546875,207.8612060546875,207.8612060546875
2025-04-25,208.76898193359375,208.76898193359375,208.76898193359375
2025-04-28,209.62689208984375,209.62689208984375,209.62689208984375
2025-04-29,210.69427490234375,210.69427490234375,210.69427490234375
2025-04-30,211.9811248779297,211.9811248779297,211.9811248779297
2025-05-01,212.79913330078125,212.79913330078125,212.79913330078125
2025-05-02,204.8485870361328,204.8485870361328,204.8485870361328
2025-05-05,198.40435791015625,198.40435791015625,198.40435791015625
2025-05-06,198.0252685546875,198.0252685546875,198.0252685546875
2025-05-07,195.7707977294922,195.7707977294922,195.7707977294922
2025-05-08,197.00778198242188,197.00778198242188,197.00778198242188
2025-05-09,198.0452423095703,198.0452423095703,198.0452423095703
2025-05-12,210.55104064941406,210.55104064941406,210.55104064941406
2025-05-13,212.68861389160156,212.68861389160156,212.68861389160156
2025-05-14,212.08929443359375,212.08929443359375,212.08929443359375
2025-05-15,211.21029663085938,211.21029663085938,211.21029663085938
2025-05-16,211.0205078125,211.0205078125,211.0205078125
2025-05-19,208.54331970214844,208.54331970214844,208.54331970214844
2025-05-20,206.62550354003906,206.62550354003906,206.62550354003906
2025-05-21,201.86090087890625,201.86090087890625,201.86090087890625
2025-05-22,201.13172912597656,201.13172912597656,201.13172912597656
2025-05-23,195.04864501953125,195.04864501953125,195.04864501953125
2025-05-26,,195.04864501953125,195.04864501953125
2025-05-27,199.98304748535156,199.98304748535156,199.98304748535156
2025-05-28,200.1927947998047,200.1927947998047,200.1927947998047
2025-05-29,199.72332763671875,199.72332763671875,199.72332763671875
2025-05-30,200.622314453125,200.622314453125,200.622314453125
2025-06-02,201.47134399414062,201.47134399414062,201.47134399414062
2025-06-03,203.03956604003906,203.03956604003906,203.03956604003906
2025-06-04,202.590087890625,202.590087890625,202.590087890625
2025-06-05,200.40257263183594,200.40257263183594,200.40257263183594
2025-06-06,203.68882751464844,203.68882751464844,203.68882751464844
2025-06-09,201.2216339111328,201.2216339111328,201.2216339111328
2025-06-10,202.44024658203125,202.44024658203125,202.44024658203125
2025-06-11,198.55465698242188,198.55465698242188,198.55465698242188
2025-06-12,198.97418212890625,198.97418212890625,198.97418212890625
2025-06-13,196.227294921875,196.227294921875,196.227294921875
2025-06-16,198.195068359375,198.195068359375,198.195068359375
2025-06-17,195.418212890625,195.418212890625,195.418212890625
2025-06-18,196.35714721679688,196.35714721679688,196.35714721679688
2025-06-19,,196.35714721679688,196.35714721679688
2025-06-20,200.7721405029297,200.7721405029297,200.7721405029297
2025-06-23,201.27157592773438,201.27157592773438,201.27157592773438
2025-06-24,200.07293701171875,200.07293701171875,200.07293701171875
2025-06-25,201.33151245117188,201.33151245117188,201.33151245117188
2025-06-26,200.7721405029297,200.7721405029297,200.7721405029297
2025-06-27,200.85205078125,200.85205078125,200.85205078125
2025-06-30,204.93740844726562,204.93740844726562,204.93740844726562
